Dataset,Analyte,Time,Mg_1,Mg_2,Mg_3,NH4_1,NH4_2,NH4_3,PO4_1,PO4_2,PO4_3,PO4_1_corr,PO4_2_corr,PO4_3_corr,PO4_avg,PO4_pct,F,1-F,ln(1-F),sqrt_t,ln_t,log_t,log_F,higuchi_model__Parameter,higuchi_model__Value,higuchi_model__Slope,higuchi_model__Intercept,higuchi_model__R_2_transformed,higuchi_model__RMSE_in_F_space,higuchi_model__RRMSE_in_F_space,first_order_model__Parameter,first_order_model__Value,first_order_model__Slope,first_order_model__Intercept,first_order_model__R_2_transformed,first_order_model__RMSE_in_F_space,first_order_model__RRMSE_in_F_space,ritger_peppas_model__Parameter,ritger_peppas_model__Value,ritger_peppas_model__k_Ritger_Peppas,ritger_peppas_model__Slope,ritger_peppas_model__Intercept,ritger_peppas_model__R_2_transformed,ritger_peppas_model__RMSE_in_F_space,ritger_peppas_model__RRMSE_in_F_space,elovich_model__Parameter,elovich_model__Value,elovich_model__Slope,elovich_model__Intercept,elovich_model__R_2_transformed,elovich_model__RMSE_in_F_space,elovich_model__RRMSE_in_F_space,Best_Model,Best_Model_Parameter,Best_Model_Value,Mg_1_corr,Mg_2_corr,Mg_3_corr,Mg_avg,Mg_pct,NH4_1_corr,NH4_2_corr,NH4_3_corr,NH4_avg,NH4_pct
EPSRawData,PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,0.5,20.0,23.0,17.0,12.5,14.2,12.1,0.56,0.59,0.56,78.96000000000001,83.19,78.96000000000001,80.37,17.27272727,0.1727272727,0.8272727273,-0.18962085924259914,0.7071067811865476,-0.6931471805599453,-0.3010299956639812,-0.7626390842739689,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,1.0,22.0,22.0,27.0,14.5,14.4,14.1,0.57,0.58,0.58,80.36999999999999,81.78,81.78,81.31,17.47474747,0.1747474747,0.8252525253,-0.19206584821110514,1.0,0.0,0.0,-0.757589091586742,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,2.0,33.0,31.0,37.0,21.0,21.7,24.0,0.77,0.8,0.84,108.57000000000001,112.80000000000001,118.44,113.27,24.34343434,0.2434343434,0.7565656566,-0.2789659595660223,1.4142135623730951,0.6931471805599453,0.3010299956639812,-0.6136181520839513,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,4.0,37.0,43.0,35.0,24.5,24.1,24.5,1.1,0.94,1.09,155.10000000000002,132.54,153.69,147.11,31.61616162,0.3161616162,0.6838383838,-0.3800336702724907,2.0,1.3862943611198906,0.6020599913279624,-0.5000908569983756,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,6.0,45.0,46.0,45.0,25.7,26.6,25.2,1.02,1.05,1.03,143.82,148.05,145.23,145.7,31.31313131,0.3131313131,0.6868686869,-0.37561214491289496,2.449489742783178,1.791759469228055,0.7781512503836436,-0.5042735008067067,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,8.0,38.0,42.0,47.0,29.6,30.2,31.4,1.16,1.17,1.29,163.56,164.97,181.89000000000001,170.14,36.56565657,0.3656565657,0.6343434343000001,-0.45516477672890815,2.8284271247461903,2.0794415416798357,0.9030899869919435,-0.43692662401279675,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,24.5,72.0,82.0,84.0,59.4,57.6,60.7,2.33,2.27,2.3,328.53000000000003,320.07,324.29999999999995,324.3,69.6969697,0.696969697,0.303030303,-1.1939224685724346,4.949747468305833,3.1986731175506815,1.3891660843645324,-0.15678610384141223,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,32.0,95.0,99.0,99.0,60.2,63.6,60.7,2.41,2.31,2.35,339.81,325.71,331.35,332.29,71.41414141,0.7141414141,0.2858585859,-1.2522580453405217,5.656854249492381,3.4657359027997265,1.505149978319906,-0.14621578082583592,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
EPSRawData,PO4,48.5,,,,73.5,73.5,73.5,3.3,3.3,3.3,465.29999999999995,465.29999999999995,465.29999999999995,465.3,100.0,1.0,,,,,,,k_H (Higuchi constant),0.1179769367785615,0.1179769367785615,0.06484564570075327,0.9802029844648186,0.028332395427294533,7.562944785621542,k (first-order),0.036026665083275504,-0.036026665083275504,-0.18844548704393585,0.9783838793789457,0.024790235510322604,6.617413725861848,n (release exponent),0.3662567278235827,0.1897537882026197,0.3662567278235827,-0.7218095451870443,0.9580106618933449,0.041811529333032935,11.161014908167239,slope (1/beta),0.13743704452405003,0.13743704452405003,0.16980729901415645,0.8672597410491618,0.07336429741730713,19.58359405320476,Higuchi Model,k_H (Higuchi constant),0.1179769367785615,,,,,,,,,,
